Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
A4313002004,"three-way, for continuous irrigation",,,,,,,2025-09-12 20:34:03
A4314001003,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way",Cath w/drainage 2-way latex 37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4314002004,"latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",,,,,,,2025-09-12 20:34:03
A4315001003,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way,",Cath w/drainage 2-way silcne37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4315002004,all silicone,,,,,,,2025-09-12 20:34:03
A4316001003,"Insertion tray with drainage bag with indwelling catheter, foley type,",Cath w/drainage 3-way       37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4316002004,"three-way, for continuous irrigation",,,,,,,2025-09-12 20:34:03
A4320001003,"Irrigation tray with bulb or piston syringe, any purpose",Irrigation tray             37      A                  2130,,,D,D1A,P      0199001011992,2025-09-12 20:34:03
A4321001003,Therapeutic agent for urinary catheter irrigation,Cath therapeutic irrig agent37      A                  2130,,,D,D1F,P      0199701012003,2025-09-12 20:34:03
A4322001003,"Irrigation syringe, bulb or piston, each",Irrigation syringe          37      A                  2130,,,D,D1F,P      0199001011996,2025-09-12 20:34:03
A4326001003,"Male external catheter with integral collection chamber, any type, each",Male external catheter      37      A                  2130,,,D,D1F,P      0199001012007,2025-09-12 20:34:03
A4327001003,"Female external urinary collection device; meatal cup, each",Fem urinary collect dev cup 37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4328001003,"Female external urinary collection device; pouch, each",Fem urinary collect pouch   37      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4330001003,"Perianal fecal collection pouch with adhesive, each",Stool collection pouch      37      A                  2130,,,D,D1F,P      0199001011996,2025-09-12 20:34:03
A4331001003,"Extension drainage tubing, any type, any length, with connector/adaptor, for",Extension drainage tubing   37      A                  2130,,,D,D1F,P      0200101012003,2025-09-12 20:34:03
A4331002004,"use with urinary leg bag or urostomy pouch, each",,,,,,,2025-09-12 20:34:03
A4332001003,"Lubricant, individual sterile packet, each",Lube sterile packet         37      A                  2130,,,D,D1F,P      0200101012005,2025-09-12 20:34:03
A4333001003,"Urinary catheter anchoring device, adhesive skin attachment, each",Urinary cath anchor device  37      A                  2130,,,D,D1F,P      0200101012003,2025-09-12 20:34:03
A4334001003,"Urinary catheter anchoring device, leg strap, each",Urinary cath leg strap      37      A                  2130,,,D,D1F,P      0200101012003,2025-09-12 20:34:03
A4335001003,Incontinence supply; miscellaneous,Incontinence supply         46      A                  2130,,,D,D1F,P      0199001011990,2025-09-12 20:34:03
A4336001003,"Incontinence supply, urethral insert, any type, each",Urethral insert             37      A,,,D,0124D1F,P      0201001012010,2025-09-12 20:34:03
A4337001003,"Incontinence supply, rectal insert, any type, each",Incontinent rectal insert   38      A                  2130,,,D,D1F,P      0201601012016,2025-09-12 20:34:03
A4338001003,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone,",Indwelling catheter latex   37      A                  2130,,,D,D1F,P      0199001011996,2025-09-12 20:34:03
A4338002004,"silicone elastomer, or hydrophilic, etc.), each",,,,,,,2025-09-12 20:34:03
A4340001003,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each",Indwelling catheter special 37      A                  2130,,,D,D1F,P      0199001011996,2025-09-12 20:34:03
A4341001003,"Indwelling intraurethral drainage device with valve, patient inserted,",Iduc valve pat inst repl    37      A,,,C,D1F,P      0202304012023,2025-09-12 20:34:03
A4341002004,"replacement only, each",,,,,,,2025-09-12 20:34:03
A4342001003,Accessories for patient inserted indwelling intraurethral drainage device with,Iduc valve sply repl        37      A,,,C,D1F,P      0202304012023,2025-09-12 20:34:03
A4342002004,"valve, replacement only, each",,,,,,,2025-09-12 20:34:03
A4344001003,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",Cath indw foley 2 way silicn37      A                  2130,,,D,D1F,P      0198301012023,2025-09-12 20:34:03
A4346001003,"Indwelling catheter; foley type, three way for continuous irrigation, each",Cath indw foley 3 way       37      A                  2130,,,D,D1F,P      0198301011996,2025-09-12 20:34:03
A4349001003,"Male external catheter, with or without adhesive, disposable, each",Disposable male external cat37      A                  2130,,,D,D1A,P      0200501012005,2025-09-12 20:34:03
A4351001003,"Intermittent urinary catheter; straight tip, with or without coating (teflon,",Straight tip urine catheter 37      A                  2130,,,D,D1F,P      0199001012002,2025-09-12 20:34:03
A4351002004,"silicone, silicone elastomer, or hydrophilic, etc.), each",,,,,,,2025-09-12 20:34:03
A4352001003,"Intermittent urinary catheter; coude (curved) tip, with or without coating",Coude tip urinary catheter  37      A                  2130,,,D,D1F,P      0199001012002,2025-09-12 20:34:03
A4352002004,"(teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",,,,,,,2025-09-12 20:34:03
A4353001003,"Intermittent urinary catheter, with insertion supplies",Intermittent urinary cath   37      A                  2130,,,D,D1F,P      0199701012003,2025-09-12 20:34:03
A4354001003,Insertion tray with drainage bag but without catheter,Cath insertion tray w/bag   37      A                  2130,,,D,D1F,P      0198601011990,2025-09-12 20:34:03
A4355001003,Irrigation tubing set for continuous bladder irrigation through a three-way,Bladder irrigation tubing   37      A                  2130,,,D,D1F,P      0198401011996,2025-09-12 20:34:03
A4355002004,"indwelling foley catheter, each",,,,,,,2025-09-12 20:34:03
A4356001003,External urethral clamp or compression device (not to be used for catheter,Ext ureth clmp or compr dvc 37      A                  2130,,,D,D1F,P      0198501011996,2025-09-12 20:34:03
A4356002004,"clamp), each",,,,,,,2025-09-12 20:34:03
A4357001003,"Bedside drainage bag, day or night, with or without anti-reflux device, with or",Bedside drainage bag        37      A                  2130,,,D,D1F,P      0198501011996,2025-09-12 20:34:03
A4357002004,"without tube, each",,,,,,,2025-09-12 20:34:03
A4358001003,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps,",Urinary leg or abdomen bag  37      A                  2130,,,D,D1F,P      0198501012002,2025-09-12 20:34:03
A4358002004,each,,,,,,,2025-09-12 20:34:03
A4360001003,"Disposable external urethral clamp or compression device, with pad and/or",Disposable ext urethral dev 37      A,,,D,0124D1F,9      0201001012010,2025-09-12 20:34:03
A4360002004,"pouch, each",,,,,,,2025-09-12 20:34:03
A4361001003,"Ostomy faceplate, each",Ostomy face plate           37      A                  2130,,,D,D1F,P      0198501011996,2025-09-12 20:34:03
A4362001003,"Skin barrier; solid, 4 x 4 or equivalent; each",Solid skin barrier          37      A                  2130,,,D,D1F,P      0198501011990,2025-09-12 20:34:03
A4363001003,"Ostomy clamp, any type, replacement only, each","Ostomy clamp, replacement   37      A",,,D,0124D1F,P      0200601012006,2025-09-12 20:34:03
A4364001003,"Adhesive, liquid or equal, any type, per oz","Adhesive, liquid or equal   37      A                  2130",,,D,D1F,P      0198501012003,2025-09-12 20:34:03
A4366001003,"Ostomy vent, any type, each",Ostomy vent                 37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4367001003,"Ostomy belt, each",Ostomy belt                 37      A                  2130A,,,D,D1F,P      0198501011996,2025-09-12 20:34:03
A4368001003,"Ostomy filter, any type, each",Ostomy filter               37      A,,,C,D1F,P      0199701011997,2025-09-12 20:34:03
A4369001003,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz",Skin barrier liquid per oz  37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4371001003,"Ostomy skin barrier, powder, per oz",Skin barrier powder per oz  37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4372001003,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in",Skin barrier solid 4x4 equiv37      A                  2130,,,D,D1F,P      0200001012006,2025-09-12 20:34:03
A4372002004,"convexity, each",,,,,,,2025-09-12 20:34:03
A4373001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in",Skin barrier with flange    37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4373002004,"convexity, any size, each",,,,,,,2025-09-12 20:34:03
A4375001003,"Ostomy pouch, drainable, with faceplate attached, plastic, each",Drainable plastic pch w fcpl37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4376001003,"Ostomy pouch, drainable, with faceplate attached, rubber, each",Drainable rubber pch w fcplt37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4377001003,"Ostomy pouch, drainable, for use on faceplate, plastic, each",Drainable plstic pch w/o fp 37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4378001003,"Ostomy pouch, drainable, for use on faceplate, rubber, each",Drainable rubber pch w/o fp 37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4379001003,"Ostomy pouch, urinary, with faceplate attached, plastic, each",Urinary plastic pouch w fcpl37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4380001003,"Ostomy pouch, urinary, with faceplate attached, rubber, each",Urinary rubber pouch w fcplt37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4381001003,"Ostomy pouch, urinary, for use on faceplate, plastic, each",Urinary plastic pouch w/o fp37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4382001003,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",Urinary hvy plstc pch w/o fp37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4383001003,"Ostomy pouch, urinary, for use on faceplate, rubber, each",Urinary rubber pouch w/o fp 37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4384001003,"Ostomy faceplate equivalent, silicone ring, each",Ostomy faceplt/silicone ring37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4385001003,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in",Ost skn barrier sld ext wear37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4385002004,"convexity, each",,,,,,,2025-09-12 20:34:03
A4387001003,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece),",Ost clsd pouch w att st barr37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4387002004,each,,,,,,,2025-09-12 20:34:03
A4388001003,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",Drainable pch w ex wear barr37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4389001003,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1",Drainable pch w st wear barr37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4389002004,"piece), each",,,,,,,2025-09-12 20:34:03
A4390001003,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in",Drainable pch ex wear convex37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4390002004,"convexity (1 piece), each",,,,,,,2025-09-12 20:34:03
A4391001003,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",Urinary pouch w ex wear barr37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4392001003,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in",Urinary pouch w st wear barr37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4392002004,"convexity (1 piece), each",,,,,,,2025-09-12 20:34:03
A4393001003,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in",Urine pch w ex wear bar conv37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4393002004,"convexity (1 piece), each",,,,,,,2025-09-12 20:34:03
A4394001003,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid",Ostomy pouch liq deodorant  37      A                  2130,,,D,D1F,P      0200001012007,2025-09-12 20:34:03
A4394002004,ounce,,,,,,,2025-09-12 20:34:03
A4395001003,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",Ostomy pouch solid deodorant37      A                  2130,,,D,D1F,P      0200001012003,2025-09-12 20:34:03
A4396001003,Ostomy belt with peristomal hernia support,Peristomal hernia supprt blt37      A                  2130,,,D,D1F,P      0200101012003,2025-09-12 20:34:03
A4397001003,"Irrigation supply; sleeve, each",Irrigation supply sleeve    37      A                  2130,,,D,D1F,P      0199001012022,2025-09-12 20:34:03
A4398001003,"Ostomy irrigation supply; bag, each",Ostomy irrigation bag       37      A                  2130,,,D,D1F,P      0198901011997,2025-09-12 20:34:03
A4399001003,"Ostomy irrigation supply; cone/catheter, with or without brush",Ostomy irrig cone/cath w brs37      A                  2130,,,D,D1F,P      0198901012011,2025-09-12 20:34:03
A4400001003,Ostomy irrigation set,Ostomy irrigation set       37      A                  2130,,,D,D1F,P      0198201011990,2025-09-12 20:34:03
A4402001003,"Lubricant, per ounce",Lubricant per ounce         37      A                  2130,,,D,D1F,P      0198501011995,2025-09-12 20:34:03
A4404001003,"Ostomy ring, each",Ostomy ring each            37      A                  2130,,,D,D1F,P      0198501011995,2025-09-12 20:34:03
A4405001003,"Ostomy skin barrier, non-pectin based, paste, per ounce",Nonpectin based ostomy paste37      A                  2130,,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4406001003,"Ostomy skin barrier, pectin-based, paste, per ounce",Pectin based ostomy paste   37      A                  2130,,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4407001003,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended","Ext wear ost skn barr <=4sq""37      A                  2130",,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4407002004,"wear, with built-in convexity, 4 x 4 inches or smaller, each",,,,,,,2025-09-12 20:34:03
A4408001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,","Ext wear ost skn barr >4sq"" 37      A                  2130",,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4408002004,"with built-in convexity, larger than 4 x 4 inches, each",,,,,,,2025-09-12 20:34:03
A4409001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,",Ost skn barr convex <=4 sq i37      A                  2130,,,D,D1F,P      0200301012006,2025-09-12 20:34:03
A4409002004,"without built-in convexity, 4 x 4 inches or smaller, each",,,,,,,2025-09-12 20:34:03
A4410001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,",Ost skn barr extnd >4 sq    37      A                  2130,,,D,D1F,P      0200301012006,2025-09-12 20:34:03
A4410002004,"without built-in convexity, larger than 4 x 4 inches, each",,,,,,,2025-09-12 20:34:03
A4411001003,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in",Ost skn barr extnd =4sq     37      A,,,D,0124D1F,P      0200601012006,2025-09-12 20:34:03
A4411002004,"convexity, each",,,,,,,2025-09-12 20:34:03
A4412001003,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece",Ost pouch drain high output 37      A                  2130,,,D,0124D1F,P      0200601012006,2025-09-12 20:34:03
A4412002004,"system), without filter, each",,,,,,,2025-09-12 20:34:03
A4413001003,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece",2 pc drainable ost pouch    37      A                  2130,,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4413002004,"system), with filter, each",,,,,,,2025-09-12 20:34:03
A4414001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), without",Ost sknbar w/o conv<=4 sq in37      A                  2130,,,D,D1F,P      0200301012006,2025-09-12 20:34:03
A4414002004,"built-in convexity, 4 x 4 inches or smaller, each",,,,,,,2025-09-12 20:34:03
A4415001003,"Ostomy skin barrier, with flange (solid, flexible or accordion), without",Ost skn barr w/o conv >4 sqi37      A                  2130,,,D,D1F,P      0200301012006,2025-09-12 20:34:03
A4415002004,"built-in convexity, larger than 4 x 4 inches, each",,,,,,,2025-09-12 20:34:03
A4416001003,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",Ost pch clsd w barrier/filtr37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4417001003,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with",Ost pch w bar/bltinconv/fltr37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4417002004,"filter (1 piece), each",,,,,,,2025-09-12 20:34:03
A4418001003,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",Ost pch clsd w/o bar w filtr37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4419001003,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter",Ost pch for bar w flange/flt37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4419002004,"(2 piece), each",,,,,,,2025-09-12 20:34:03
A4420001003,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",Ost pch clsd for bar w lk fl37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4421001003,Ostomy supply; miscellaneous,Ostomy supply misc          46      A,,,C,D1F,P      0198501012018,2025-09-12 20:34:03
A4422001003,Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to,Ost pouch absorbent material37      A                  2130,,,D,D1F,P      0200301012003,2025-09-12 20:34:03
A4422002004,"thicken liquid stomal output, each",,,,,,,2025-09-12 20:34:03
A4423001003,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2",Ost pch for bar w lk fl/fltr37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4423002004,"piece), each",,,,,,,2025-09-12 20:34:03
A4424001003,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",Ost pch drain w bar & filter37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4425001003,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with",Ost pch drain for barrier fl37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4425002004,"filter (2 piece system), each",,,,,,,2025-09-12 20:34:03
A4426001003,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece",Ost pch drain 2 piece system37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4426002004,"system), each",,,,,,,2025-09-12 20:34:03
A4427001003,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2",Ost pch drain/barr lk flng/f37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4427002004,"piece system), each",,,,,,,2025-09-12 20:34:03
A4428001003,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type",Urine ost pouch w faucet/tap37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4428002004,"tap with valve (1 piece), each",,,,,,,2025-09-12 20:34:03
A4429001003,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with",Urine ost pouch w bltinconv 37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4429002004,"faucet-type tap with valve (1 piece), each",,,,,,,2025-09-12 20:34:03
A4430001003,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in",Ost urine pch w b/bltin conv37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4430002004,"convexity, with faucet-type tap with valve (1 piece), each",,,,,,,2025-09-12 20:34:03
A4431001003,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve",Ost pch urine w barrier/tapv37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4431002004,"(1 piece), each",,,,,,,2025-09-12 20:34:03
A4432001003,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with",Os pch urine w bar/fange/tap37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4432002004,"faucet-type tap with valve (2 piece), each",,,,,,,2025-09-12 20:34:03
A4433001003,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",Urine ost pch bar w lock fln37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4434001003,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type",Ost pch urine w lock flng/ft37      A,,,C,D1F,P      0200401012004,2025-09-12 20:34:03
A4434002004,"tap with valve (2 piece), each",,,,,,,2025-09-12 20:34:03
A4435001003,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece",1pc ost pch drain hgh output37      A,,,C,D1F,P      0201301012013,2025-09-12 20:34:03
A4435002004,"system), with or without filter, each",,,,,,,2025-09-12 20:34:03
A4436001003,"Irrigation supply; sleeve, reusable, per month",Irr supply sleev reus per mo37      A                  2130,,,D,D1F,P      0202201012022,2025-09-12 20:34:03
A4437001003,"Irrigation supply; sleeve, disposable, per month",Irr supply sleev disp per mo37      A                  2130,,,D,D1F,P      0202201012022,2025-09-12 20:34:03
A4438001003,Adhesive clip applied to the skin to secure external electrical nerve,Adhesive clip ext ens contr 38      A,,,C,D1F,P      0202404012024,2025-09-12 20:34:03
A4438002004,"stimulator controller, each",,,,,,,2025-09-12 20:34:03
A4450001003,"Tape, non-waterproof, per 18 square inches",Non-waterproof tape         37      A                  2130,,,D,D1F,LP     0200301012003,2025-09-12 20:34:03
A4452001003,"Tape, waterproof, per 18 square inches",Waterproof tape             37      A                  2130,,,D,D1F,LP     0200301012003,2025-09-12 20:34:03
A4453001003,"Rectal catheter with or without balloon, for use with any type transanal","Rec cath any transanal, each38      A",,,C,D1F,P      0202110012025,2025-09-12 20:34:03
A4453002004,"irrigation system, each",,,,,,,2025-09-12 20:34:03
A4455001003,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",Adhesive remover per ounce  37      A                  2130,,,D,D1F,P      0198901011995,2025-09-12 20:34:03
A4456001003,"Adhesive remover, wipes, any type, each","Adhesive remover, wipes     37      A                  2130",,,D,D1F,P      0201001012010,2025-09-12 20:34:03
A4457001003,"Enema tube, with or without adapter, any type, replacement only, each",Enema tube any type repl    00      9                                          1861s8,,,S,Z2,9      0202401012024,2025-09-12 20:34:03
A4458001003,"Enema bag with tubing, reusable",Reusable enema bag          00      9,,,C,Z2,9      0200301012007,2025-09-12 20:34:03
A4459001003,"Manual transanal irrigation system, includes water reservoir, pump, tubing, and","Transanal irrigation, any   38      A",,,C,D1F,P      0201501012025,2025-09-12 20:34:03
A4459002004,"accessories, without catheter, any type",,,,,,,2025-09-12 20:34:03
A4461001003,"Surgical dressing holder, non-reusable, each",Surgicl dress hold non-reuse35      A,,,C,D1A,S      0200701012007,2025-09-12 20:34:03
A4463001003,"Surgical dressing holder, reusable, each",Surgical dress holder reuse 35      A,,,C,D1A,S      0200701012007,2025-09-12 20:34:03
A4465001003,Non-elastic binder for extremity,Non-elastic extremity binder00      9,,,C,D1A,9      0199401011995,2025-09-12 20:34:03
A4466001003,"Garment, belt, sleeve or other covering, elastic or similar stretchable",Elastic garment/covering    00      9,,A4467,M,0196Z2,9      0201001012017,2025-09-12 20:34:03
A4466002004,"material, any type, each",,,,,,,2025-09-12 20:34:03
A4467001003,"Belt, strap, sleeve, garment, or covering, any type",Belt strap sleev grmnt cover00      9,,,M,0208Z2,9      0201701012017,2025-09-12 20:34:03
A4468001003,"Exsufflation belt, includes all supplies and accessories",Exsuff belt incl all sup acc00      9                                          1834(A)(3),,,S,Z2,9      0202401012024,2025-09-12 20:34:03
A4470001003,Gravlee jet washer,Gravlee jet washer          00      950-4              2320,,,D,D1A,P      0198601012001,2025-09-12 20:34:03
A4480001003,Vabra aspirator,Vabra aspirator             00      950-10             2320,,,D,D1A,P      0198601012001,2025-09-12 20:34:03
A4481001003,"Tracheostoma filter, any type, any size, each",Tracheostoma filter         37      A                  2130,,,D,D1F,P      0199701012003,2025-09-12 20:34:03
A4483001003,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",Moisture exchanger          37      A                  2130,,,D,D1F,P      0199901012003,2025-09-12 20:34:03
A4490001003,"Surgical stockings above knee length, each",Above knee surgical stocking00      960-9              2079    2100,,,M,D1A,P      0198601012003,2025-09-12 20:34:03
A4495001003,"Surgical stockings thigh length, each",Thigh length surg stocking  00      960-9              2079    2100,,,M,D1A,P      0198601012003,2025-09-12 20:34:03
A4500001003,"Surgical stockings below knee length, each",Below knee surgical stocking00      960-9              2079    2100,,,M,D1A,P      0198601012003,2025-09-12 20:34:03
A4510001003,"Surgical stockings full length, each",Full length surg stocking   00      960-9              2079    2100,,,M,D1A,P      0198601012003,2025-09-12 20:34:03
A4520001003,"Incontinence garment, any type, (e.g., brief, diaper), each",Incontinence garment anytype00      960-9,,,M,D1A,9      0200501012005,2025-09-12 20:34:03
A4540001003,"Distal transcutaneous electrical nerve stimulator, stimulates peripheral nerves",Trans elec nerv periph nerv 00      9                                          1861(n),,,S,Z2,9      0202401012024,2025-09-12 20:34:03
A4540002004,of the upper arm,,,,,,,2025-09-12 20:34:03
A4541001003,Monthly supplies for use of device coded at e0733,Monthly supp use with e0733 34      A,,,C,D1E,P      0202401012024,2025-09-12 20:34:03
A4542001003,Supplies and accessories for external upper limb tremor stimulator of the,Supp ext up limb tremor stim34      A,,,C,D1E,P      0202401012024,2025-09-12 20:34:03
A4542002004,peripheral nerves of the wrist,,,,,,,2025-09-12 20:34:03
A4543001003,"Supplies for transcutaneous electrical nerve stimulator, for nerves in the",Supply trans elec nerve stim46      A,,,C,D1E,9      0202410012024,2025-09-12 20:34:03
A4543002004,"auricular region, per month",,,,,,,2025-09-12 20:34:03
A4544001003,Electrode for external lower extremity nerve stimulator for restless legs,Electro nerve stimulator rls34      A,,,C,D1E,P      0202410012024,2025-09-12 20:34:03
A4544002004,syndrome,,,,,,,2025-09-12 20:34:03
A4545001003,"Supplies and accessories for external tibial nerve stimulator (e.g., socks, gel",Suppl accessor tibial stim  34      A,,,C,D1E,P      0202410012024,2025-09-12 20:34:03
A4545002004,"pads, electrodes, etc.), needed for one month",,,,,,,2025-09-12 20:34:03
A4550001003,Surgical trays,Surgical trays              11      A                  15030,,,D,Y1,9      0198201012000,2025-09-12 20:34:03
A4553001003,"Non-disposable underpads, all sizes","Nondisp underpads, all sizes00      960-9",,,M,D1A,9      0201701012017,2025-09-12 20:34:03
A4554001003,"Disposable underpads, all sizes",Disposable underpads        00      960-9,,,M,D1A,9      0198601012005,2025-09-12 20:34:03
A4555001003,Electrode/transducer for use with electrical stimulation device used for cancer,Ca tx e-stim electr/transduc00      9,,,I,D1E,P      0201401012014,2025-09-12 20:34:03
A4555002004,"treatment, replacement only",,,,,,,2025-09-12 20:34:03
A4556001003,"Electrodes, (e.g., apnea monitor), per pair","Electrodes, pair            34      A",,,C,D1E,P      0198401012000,2025-09-12 20:34:03
A4557001003,"Lead wires, (e.g., apnea monitor), per pair","Lead wires, pair            34      A",,,C,D1E,P      0198401012000,2025-09-12 20:34:03
A4558001003,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per",Conductive gel or paste     34      A,,,C,D1E,P      0198501012007,2025-09-12 20:34:03
A4558002004,oz,,,,,,,2025-09-12 20:34:03
A4559001003,"Coupling gel or paste, for use with ultrasound device, per oz",Coupling gel or paste       34      A,,,C,D1E,P      0200701012007,2025-09-12 20:34:03
A4560001003,"Neuromuscular electrical stimulator (nmes), disposable, replacement only",Nmes disposable             00      9                                          1861(n),,,S,Z2,9      0202304012023,2025-09-12 20:34:03
A4561001003,"Pessary, reusable, rubber, any type",Pessary reusable rub anytype38      A,,,C,D1F,P      0200101012024,2025-09-12 20:34:03
A4562001003,"Pessary, reusable, non rubber, any type",Pessary reusable nonrubber  38      A,,,C,D1F,P      0200101012024,2025-09-12 20:34:03
A4563001003,"Rectal control system for vaginal insertion, for long term use, includes pump",Vag inser rectal control sys38      A,,,C,D1F,P      0201901012019,2025-09-12 20:34:03
A4563002004,"and all supplies and accessories, any type each",,,,,,,2025-09-12 20:34:03
A4564001003,"Pessary, disposable, any type","Pessary, disposable any type46      A",,,C,D1F,P      0202404012024,2025-09-12 20:34:03
A4565001003,Slings,Slings                      55      A,,,C,D1A,P      0198301012014,2025-09-12 20:34:03
